CUSIP,Security Type,Security Term,Auction Date,Issue Date,Maturity Date,Price,Investment Rate,High Yield,Interest Payment Frequency,Interest Rate
912797KC0,Bill,13-Week,05/20/2024,05/23/2024,08/22/2024,98.674181,0.05389,,None,
912797LE5,Bill,26-Week,05/20/2024,05/23/2024,11/21/2024,97.391333,0.05372,,None,
912797KF3,Bill,4-Week,05/16/2024,05/21/2024,06/18/2024,99.590111,0.05365,,None,
912797KP1,Bill,8-Week,05/16/2024,05/21/2024,07/16/2024,99.180222,0.05387,,None,
912797LH8,Bill,17-Week,05/15/2024,05/21/2024,09/17/2024,98.269542,0.05401,,None,
912796Y45,Bill,42-Day,05/14/2024,05/16/2024,06/27/2024,99.384000,0.05387,,None,
912797LB1,Bill,52-Week,05/14/2024,05/16/2024,05/15/2025,95.050611,0.05155,,None,
912797KB2,Bill,13-Week,05/13/2024,05/16/2024,08/15/2024,98.672917,0.05395,,None,
912797LD7,Bill,26-Week,05/13/2024,05/16/2024,11/14/2024,97.388806,0.05377,,None,
912810UA4,Bond,30-Year,05/09/2024,05/15/2024,05/15/2054,99.838820,,0.04635,Semi-Annual,0.04625
912797KE6,Bill,4-Week,05/09/2024,05/14/2024,06/11/2024,99.590111,0.05365,,None,
912797KN6,Bill,8-Week,05/09/2024,05/14/2024,07/09/2024,99.179444,0.05393,,None,
91282CKQ3,Note,10-Year,05/08/2024,05/15/2024,05/15/2034,99.137260,,0.04483,Semi-Annual,0.04375
912797LG0,Bill,17-Week,05/08/2024,05/14/2024,09/10/2024,98.267889,0.05406,,None,
91282CKR1,Note,3-Year,05/07/2024,05/15/2024,05/15/2027,99.708904,,0.04605,Semi-Annual,0.045
912796ZW2,Bill,42-Day,05/07/2024,05/09/2024,06/20/2024,99.384000,0.05387,,None,
912797GK7,Bill,13-Week,05/06/2024,05/09/2024,08/08/2024,98.672917,0.05395,,None,
912797LC9,Bill,26-Week,05/06/2024,05/09/2024,11/07/2024,97.393861,0.05366,,None,
912797JZ1,Bill,4-Week,05/02/2024,05/07/2024,06/04/2024,99.589722,0.0537,,None,
912797KH9,Bill,8-Week,05/02/2024,05/07/2024,07/02/2024,99.180222,0.05387,,None,
912797LA3,Bill,17-Week,05/01/2024,05/07/2024,09/03/2024,98.266236,0.05412,,None,
912797FS1,Bill,42-Day,04/30/2024,05/02/2024,06/13/2024,99.383417,0.05392,,None,
912797JU2,Bill,13-Week,04/29/2024,05/02/2024,08/01/2024,98.672917,0.05395,,None,
912797HE0,Bill,26-Week,04/29/2024,05/02/2024,10/31/2024,97.388806,0.05377,,None,
912797JY4,Bill,4-Week,04/25/2024,04/30/2024,05/28/2024,99.589722,0.0537,,None,
912797KG1,Bill,8-Week,04/25/2024,04/30/2024,06/25/2024,99.179444,0.05393,,None,
91282CKN0,Note,7-Year,04/25/2024,04/30/2024,04/30/2031,99.462794,,0.04716,Semi-Annual,0.04625
912797KZ9,Bill,17-Week,04/24/2024,04/30/2024,08/27/2024,98.267889,0.05406,,None,
91282CKM2,Note,2-Year,04/24/2024,04/30/2024,04/30/2026,100.000000,,,Quarterly,
91282CKP5,Note,5-Year,04/24/2024,04/30/2024,04/30/2029,99.849895,,0.04659,Semi-Annual,0.04625
91282CKK6,Note,2-Year,04/23/2024,04/30/2024,04/30/2026,99.956684,,0.04898,Semi-Annual,0.04875
912797HT7,Bill,42-Day,04/23/2024,04/25/2024,06/06/2024,99.383417,0.05392,,None,
912797JT5,Bill,13-Week,04/22/2024,04/25/2024,07/25/2024,98.671653,0.054,,None,
912797KV8,Bill,26-Week,04/22/2024,04/25/2024,10/24/2024,97.391333,0.05372,,None,
